University,Department,Overall Pay,Living Wage Ratio,Academic Year,Program Year,Comments,12M Gross Pay,9M Gross Pay,3M Gross Pay,Fees,Aggregate Department
University of Chicago (UC),chemistry,27000.0,1.24,2011.0,1st,"1st year pay is for the job of TAing.<br> Pay is more than reasonable to live in the Hyde Park area.<br> <span class=""truncated""> Only people that I know having problems are those that need to live in a 1-bedroom and get the full sports cable package,<br>which includes beer to watch all games.</span>","$28,000",,,"$1,000",chemistry
Baylor University (BU),church and state,10300.0,0.57,2011.0,5th,nan,,"$12,000",,"$1,700",church and state
University of California - San Diego (UCSD),mechanical and aerospace engineering,30000.0,1.27,2011.0,1st,"This was my stipend through the Jacobs Fellowship I received through the Jacobs School of <span class=""truncated""> Engineering of UCSD.</span>","$30,000",,,,mechanical and aerospace engineering
Michigan State University (MSU),psychology,25000.0,1.36,2011.0,1st,nan,"$25,000",,,,psychology
Harvard University (HU),history,28428.0,1.08,2011.0,1st,nan,"$28,428",,,,history
University of New Orleans (UNO),psychology,14600.0,0.67,2011.0,2nd,nan,"$15,000",,,$400,psychology
Temple University (TU),art history,15000.0,0.71,2011.0,1st,nan,,"$15,000",,,art history
University of Michigan - Ann Arbor (UM),chemistry,26000.0,1.32,2011.0,1st,nan,"$26,000",,,,chemistry
Cold Spring Harbor Laboratory,watson school of biological sciences,31500.0,,2011.0,2nd,"They have since raised the stipends,<br>but also no longer give students W2s and healthcare benefits <span class=""truncated""> have decreased.</span>","$31,500",,,,watson school of biological sciences
University of California - San Diego (UCSD),history,18000.0,0.76,2011.0,3rd,nan,,"$18,000",,,history
Boston University (BU),graduate division of religious studies,20000.0,0.76,2011.0,1st,nan,,"$20,000",,,graduate division of religious studies
Oklahoma State University (OSU),microbiology,17800.0,1.05,2011.0,5th,nan,"$18,600",,,$800,microbiology
University of Kansas (KU),special education,26400.0,1.41,2011.0,3rd,"Amount is not taxed,<br>federal fellowship","$26,400",,,,special education
Carnegie Mellon University (CMU),physics,25200.0,1.46,2011.0,1st,nan,"$25,200",,,,physics
University of Chicago (UC),biology,27750.0,1.27,2011.0,1st,nan,"$28,000",,,$250,biology
New York University (NYU),chemistry,30546.0,1.15,2011.0,1st,"$1000 moving bonus at the start of year 1.<br>Subsidized housing in the first year,<br>then nothing <span class=""truncated""> after.<br>No subsidized transit,<br>no dental insurance,<br>no disability insurance.
Summer pay was highly lab-dependent (i.e.,<br>$0 or full amount).<br>Salary went up a little per year.<br>Option to TA from 2nd half of 1st year through 1st half of 3rd year (amounting to an extra ~$10-16k/semester extra).<br>Some labs don&#39;t pay after 4th year.</span>",,"$23,046","$7,500",,chemistry
Washington University in St. Louis (Wash U),biomedical engineering,28500.0,1.58,2011.0,1st,nan,"$29,000",,,$500,biomedical engineering
University of Chicago (UC),chemistry,30000.0,1.38,2011.0,1st,nan,"$30,000",,,,chemistry
University of Pittsburgh,gsph/eoh,23500.0,1.36,2011.0,5th,nan,"$24,000",,,$500,gsph/eoh
The Catholic University of America,politics,12850.0,0.45,2011.0,4th,nan,"$13,000",,,$150,politics
Loyola University Chicago (LUC),psychology,15500.0,0.71,2011.0,,nan,,"$16,000",,$500,psychology
Duke University (DU),computational biology and bioinformatics,27500.0,1.46,2011.0,,nan,"$27,500",,,,computational biology and bioinformatics
Duke University (DU),biochemistry,29840.0,1.59,2012.0,6th and up,nan,"$29,840",,,,biochemistry
Indiana University,folklore,13950.0,0.81,2012.0,2nd,nan,,"$15,000",,"$1,050",folklore
Virginia Tech,entomology dept. /  molecular biology-based research,20200.0,1.1,2012.0,4th,nan,"$21,000",,,$800,entomology dept. /  molecular biology-based research
University of Colorado - Boulder (UCB),geology,30000.0,1.45,2012.0,2nd,nan,"$30,000",,,,geology
Boston University (BU),management,34000.0,1.29,2012.0,1st,nan,,"$27,000","$7,500",$500,management
University of Rochester (UR),institute of optics,27980.0,1.53,2012.0,5th,"The fee is for a graduate student group,<br>but a student can request to have the fee refunded.","$28,000",,,$20,institute of optics
California Institute of Technology (Caltech),natural science,31200.0,1.32,2012.0,3rd,nan,"$31,200",,,,natural science
University of California - San Diego (UCSD),scripps institution of oceanography,30000.0,1.27,2012.0,5th,NSF GK12 grant,"$30,000",,,,scripps institution of oceanography
Emory University,neuroscience,29850.0,1.42,2012.0,6th and up,nan,"$30,000",,,$150,neuroscience
Temple University (TU),english / creative writing,15900.0,0.76,2012.0,2nd,"MFA.<br>Taxed and had to teach 2 classes,<br>but also got free health insurance thanks to the grad <span class=""truncated""> student union.</span>",,"$15,900",,,english / creative writing
University of Chicago (UC),chemistry,27500.0,1.26,2012.0,2nd,nan,"$28,500",,,"$1,000",chemistry
Princeton University,religion,18960.0,0.87,2012.0,5th,"My stipend would have been 25,000 but was reduced because I received a $16,000 external fellowship,<br><span class=""truncated""> bringing my total for 2012-2013 up to a total of $35,000.
My apologies—I may have submitted other years incorrectly on this form...<br>But they&#39;re roughly accurate.</span>","$19,000",,,$40,religion
University of Maryland - College Park (UMD),neuroscience and cognitive science,19810.0,0.72,2012.0,1st,"9.5 month assistantship.
Student fees vary by credits registered for.<br>
Under 10 credits: <span class=""truncated""> $403.13/semester 
Over 10 credits: $723.00/semester</span>",,"$16,260","$5,000","$1,450",neuroscience and cognitive science
University of Rochester (UR),chemistry,24980.0,1.37,2012.0,1st,"TA pay,<br>no scholarship","$25,000",,,$20,chemistry
University of California - Los Angeles (UCLA),neuroscience idp,30000.0,1.27,2012.0,5th,No idea what the required fees were.<br>,"$30,000",,,,neuroscience idp
Purdue University - West Lafayette,psychological sciences,14400.0,0.8,2012.0,1st,nan,,"$15,000",,$600,psychological sciences
Boston University (BU),economics,23000.0,0.87,2012.0,5th,nan,,"$19,000","$4,000",,economics
Vanderbilt University,hearing and speech sciences,17500.0,0.88,2012.0,1st,nan,"$18,000",,,$500,hearing and speech sciences
Cornell University (CU),ecology and evolutionary biology,27700.0,1.3,2012.0,,nan,"$27,700",,,,ecology and evolutionary biology
Princeton University,molecular biology,30000.0,1.37,2012.0,5th,nan,"$30,000",,,,molecular biology
University of Connecticut (UConn),physics,20300.0,0.97,2012.0,2nd,"This was TA pay and small small RA stipend.<br>Cost of living: Got lucky and found a $550/month room <span class=""truncated""> (utilities extra)<br>in a 3 room duplex house.<br> Typical single apartment in the area was $750.</span>",,"$18,500","$1,800",,physics
University of California - Los Angeles (UCLA),genetics,28500.0,1.21,2012.0,6th and up,nan,"$28,500",,,,genetics
California Institute of Technology (Caltech),materials science,28500.0,1.21,2012.0,5th,nan,"$28,500",,,,materials science
Duke University (DU),genetics and genomics,27800.0,1.48,2012.0,5th,nan,"$28,000",,,$200,genetics and genomics
Duquesne University (DU),philosophy,17000.0,0.99,2012.0,1st,nan,,"$17,000",,,philosophy
Virginia Tech,engineering mechanics,23000.0,1.25,2012.0,5th,"Approximately $1000/year additional fees include athletic and similar fees.<br> 

Additional <span class=""truncated""> benefits include paid tuition and a health insurance subsidy.</span>","$24,000",,,"$1,000",engineering mechanics
New Mexico State University (NMSU),astronomy,23034.0,1.36,2012.0,3rd,"Summer/Other includes $10,000 NM Space Grant Fellowship",,"$16,100","$11,917","$4,983",astronomy
Rutgers the State University of New Jersey - New Brunswick,dmcs,28800.0,1.1,2012.0,2nd,nan,"$29,000",,,$200,dmcs
University of Pennsylvania,earth and environmental science,27899.0,1.33,2012.0,5th,"10 month stipend at 2,441.00 with two months summer pay at 1,744.50.<br>Health insurance is paid by <span class=""truncated""> the department.</span>","$27,899",,,,earth and environmental science
University of Maryland - College Park (UMD),sociology,17415.0,0.63,2012.0,5th,nan,,"$15,765","$3,000","$1,350",sociology
Carnegie Mellon University (CMU),mechanical engineering,22700.0,1.32,2012.0,1st,nan,"$24,000",,,"$1,300",mechanical engineering
University of Washington (UW),chemistry,26000.0,1.3,2012.0,1st,"Included decent insurance (except for transgender students in some instances),<br>gym membership,<br><span class=""truncated""> tuition.

Had to pay back ~$1k/year in mandatory student fees.<br>Still taxed on that portion.</span>","$26,000",,,,chemistry
University of New Orleans (UNO),psychology,15600.0,0.71,2012.0,3rd,nan,"$16,000",,,$400,psychology
University of California - Santa Barbara (UCSB),ece,27000.0,1.1,2012.0,5th,nan,"$27,000",,,,ece
Purdue University - West Lafayette,psychological sciences,15900.0,0.88,2012.0,4th,nan,,"$16,500",,$600,psychological sciences
University of Virginia (UVA),materials science and engineering,32000.0,1.63,2012.0,5th,NDSEG Fellowship.<br>Health insurance and student activities fee covered by fellowship.,"$32,000",,,,materials science and engineering
University of Denver (DU),chemistry and biochemistry,27000.0,1.4,2012.0,4th,nan,"$27,000",,,,chemistry and biochemistry
University of Antwerp,biology,26440.0,,2012.0,1st,nan,"$26,440",,,,biology
College of Charleston,marine biology,11000.0,,2012.0,1st,"With TA,<br>students pay in-state tuition",,"$16,000",,"$5,000",marine biology
Georgia Institute of Technology (Georgia Tech),aerospace engineering,33360.0,1.59,2012.0,6th and up,nan,"$33,360",,,,aerospace engineering
Georgia Institute of Technology (Georgia Tech),aerospace engineering,27000.0,1.29,2012.0,6th and up,fellowship is actually less than standard stipend; includes bonuses (mo&#39; papers = mo&#39; money),"$27,000",,,,aerospace engineering
University of North Carolina - Chapel Hill (UNC),geography,14000.0,0.74,2012.0,3rd,nan,,"$15,000",,"$1,000",geography
CUNY Graduate School and University Center,educational psychology,24850.0,0.94,2012.0,,"Health insurance is very good,<br>copays of $10 generally ",,"$25,000",,$150,educational psychology
Massachusetts Institute of Technology (MIT),materials science &amp; engineering,30413.0,1.19,2013.0,3rd,nan,"$30,413",,,,materials science &amp; engineering
Stanford University (SU),mechanical engineering,35000.0,1.4,2013.0,5th,nan,"$35,000",,,,mechanical engineering
University of California - Irvine (UCI),education,16200.0,0.59,2013.0,5th,Grad research position--stipend only.<br>Fees covered.,,"$16,200",,,education
Pennsylvania State University (Penn State),mechanical engineering,24000.0,1.3,2013.0,3rd,nan,"$24,000",,,,mechanical engineering
University of Washington (UW),computer science and engineering,24900.0,1.24,2013.0,1st,nan,"$25,800",,,$900,computer science and engineering
Duke University (DU),cell biology,35564.0,1.89,2013.0,6th and up,nan,"$35,564",,,,cell biology
University of Massachusetts - Amherst (UMass),computer science,26000.0,1.38,2013.0,1st,nan,"$26,000",,,,computer science
University of Rochester (UR),chemistry,29980.0,1.64,2013.0,2nd,IGERT Traineeship covered entire stipend,"$30,000",,,$20,chemistry
University of Texas - Arlington (UTA),materials science,30000.0,1.56,2013.0,4th,nan,"$30,000",,,,materials science
University of Michigan - Ann Arbor (UM),aerospace engineering,27534.0,1.39,2013.0,3rd,nan,"$27,534",,,,aerospace engineering
University of California - Davis (UCD),materials science,24000.0,1.11,2013.0,1st,nan,"$24,000",,,,materials science
University of Kansas (KU),slavic languages &amp; literatures,14050.0,0.75,2013.0,1st,"Teaching first year language course,<br>five days of lecture per week.",,"$14,500",,$450,slavic languages &amp; literatures
University of Virginia (UVA),history,20000.0,1.02,2013.0,1st,nan,,"$20,000",,,history
Vanderbilt University,environmental engineering,24500.0,1.24,2013.0,5th,$500 parking/year + $250/semester activity and recreational fees,"$25,500",,,"$1,000",environmental engineering
Clemson University (CU),civil engineering,18777.0,1.04,2013.0,1st,nan,,"$18,777",,,civil engineering
Emory University,environmental health sciences,21432.0,1.02,2013.0,1st,nan,"$22,032",,,$600,environmental health sciences
Indiana University,microbiology and immunology,23500.0,1.37,2013.0,4th,nan,"$23,500",,,,microbiology and immunology
Bowling Green State University (BGSU),school of media and communication,12000.0,0.73,2013.0,4th,nan,"$12,000",,,,school of media and communication
Northwestern University (NU),mechanical engineering,27000.0,1.24,2013.0,2nd,nan,"$27,000",,,,mechanical engineering
University of Southern California (USC),rossier school of education: phd,25000.0,1.06,2013.0,1st,nan,"$25,000",,,,rossier school of education: phd
Sofia University,social work,22400.0,0.9,2013.0,4th,none,,"$23,000",,$600,social work
Northeastern University (NU),biology,30900.0,1.17,2013.0,,nan,"$30,900",,,,biology
Stony Brook University - SUNY,computer science,20532.0,0.76,2013.0,1st,nan,,"$17,145","$4,000",$613,computer science
Stony Brook University - SUNY,computer science,16528.0,0.61,2013.0,1st,nan,,"$17,145",,$617,computer science
University of Maryland - College Park (UMD),neuroscience and cognitive science,15500.0,0.56,2013.0,4th,nan,,"$16,400",,$900,neuroscience and cognitive science
Southern Illinois University - Carbondale (SIUC),"plant, soil, and agricultural systems",16800.0,1.08,2013.0,2nd,nan,"$18,000",,,"$1,200","plant, soil, and agricultural systems"
Pennsylvania State University (Penn State),sociology,23500.0,1.27,2013.0,6th and up,nan,,"$21,000","$2,500",,sociology
University of Washington (UW),electrical engineering,18300.0,0.91,2013.0,1st,nan,"$19,200",,,$900,electrical engineering
Johns Hopkins University (JHU),neuroscience,29000.0,1.24,2013.0,1st,nan,"$29,000",,,,neuroscience
California Institute of Technology (Caltech),bioengineering,30000.0,1.27,2013.0,2nd,nan,"$30,000",,,,bioengineering
Baylor College of Medicine,the integrative molecular and biomedical sciences graduate program,29000.0,1.51,2013.0,4th,nan,"$29,000",,,,the integrative molecular and biomedical sciences graduate program
Georgia Institute of Technology (Georgia Tech),biomedical engineering,28000.0,1.33,2013.0,4th,"but from our stipend we still have to pay:
~5K/year in mandatory fees/insurance
~4.4K/year in <span class=""truncated""> state/federal taxes
cost of living estimates at are school are based on undergraduate freshman estimates
had to take out loans first year of program to cover initial fee burden.</span>","$28,000",,,,biomedical engineering
Harvard University (HU),epidemiology,22000.0,0.84,2013.0,1st,"NIH Training grant (T32),<br>funding also includes tuition and health insurance.<br>Can earn additional <span class=""truncated""> money as a TA,<br>or working on (non-training grant-related)<br>research or consulting projects.<br></span>","$22,000",,,,epidemiology
Georgia Institute of Technology (Georgia Tech),aerospace engineering,26000.0,1.24,2013.0,6th and up,nan,"$26,000",,,,aerospace engineering
University of Illinois - Urbana- Champaign (UIUC),computer science,32000.0,1.85,2013.0,5th,nan,"$32,000",,,,computer science
Georgia Institute of Technology (Georgia Tech),aerospace engineering,33000.0,1.57,2013.0,4th,NSF GRFP,"$33,000",,,,aerospace engineering
Northwestern University (NU),mechanical engineering,29800.0,1.37,2013.0,1st,nan,"$30,000",,,$200,mechanical engineering
University of California - San Francisco (UCSF),neuroscience,32000.0,1.2,2013.0,3rd,"I am funded by the NSF GRFP,<br>department funding for this academic year is $31,000.","$32,000",,,,neuroscience
Stanford University (SU),graduate school of education,24000.0,0.96,2013.0,4th,I received a small increase after passing candidacy.<br>,"$24,000",,,,graduate school of education
University of Illinois - Urbana- Champaign (UIUC),mechanical engineering,25300.0,1.47,2013.0,,"Pay listed for 12 months at 50% employment TA
Pay increases the further you advance your degree.<br><span class=""truncated""> 
$750/yr after masters
$840/yr after passing qualification exam
$762/yr after passing preliminary exam

Does not factor in student fees,<br>which are ~$400/semester and include health insurance,<br>some free health services,<br>and gym membership
With low living expenses in central Illinois,<br>this is easily livable</span>","$25,300",,,,mechanical engineering
Massachusetts Institute of Technology (MIT),math,33000.0,1.29,2013.0,6th and up,nan,"$33,000",,,,math
Clemson University,biochemistry,18000.0,,2013.0,2nd,nan,"$21,000",,,"$3,000",biochemistry
University of Virginia (UVA),microbiology immunology and cancer biology,28500.0,1.46,2013.0,6th and up,nan,"$28,500",,,,microbiology immunology and cancer biology
Swiss Federal Institute of Technology in Zurich,electrical engineering,69500.0,,2013.0,3rd,nan,"$70,000",,,$500,electrical engineering
University of Virginia (UVA),chemical engineering,32000.0,1.63,2013.0,4th,"This includes health insurance coverage,<br>tuition,<br>fees/etc.<br>This is from an NSF Graduate Student <span class=""truncated""> Fellowship.<br></span>","$32,000",,,,chemical engineering
Duke University (DU),biomedical engineering,32000.0,1.7,2013.0,2nd,This is the stipend associated with the NSF Fellowship.,"$32,000",,,,biomedical engineering
University of Virginia (UVA),chemical engineering,25000.0,1.28,2013.0,4th,"This stipend includes full health insurance coverage,<br>student fees,<br>tuition,<br>and a gym membership <span class=""truncated""> to the University&#39;s athletic center.<br></span>","$25,000",,,,chemical engineering
Georgia Institute of Technology (Georgia Tech),mechanical engineering,31200.0,1.49,2013.0,6th and up,"Note: I have a bonus,<br>but no fellowship.","$31,200",,,,mechanical engineering
Georgia Institute of Technology (Georgia Tech),biomedical engineering,32000.0,1.52,2013.0,3rd,NSF,"$32,000",,,,biomedical engineering
Weill Cornell Medical School,developmental biology,34000.0,,2013.0,,nan,"$34,000",,,,developmental biology
University of California - San Diego (UCSD),neurosciences,31000.0,1.31,2013.0,3rd,"We are also given an additional $1,200 if we bring in external funding.","$31,000",,,,neurosciences
New Mexico State University (NMSU),astronomy,29804.0,1.76,2013.0,4th,"Summer/Other includes $10,000 NM Space Grant Fellowship",,"$16,665","$18,332","$5,193",astronomy
University of Virginia (UVA),materials science,24000.0,1.23,2013.0,4th,nan,"$24,000",,,,materials science
University of Tennessee - Knoxville,energy science &amp; engineering,32000.0,1.74,2013.0,1st,nan,"$32,000",,,,energy science &amp; engineering
Texas Tech University (TTU),biology,23695.0,1.45,2013.0,3rd,12 month RA,"$23,750",,,$55,biology
Boston University (BU),management,30100.0,1.14,2013.0,2nd,nan,,"$27,000","$3,600",$500,management
Clemson University (CU),chemical engineering,22724.0,1.26,2013.0,5th,"In addition to paying living expenses,<br>from this we pay mandatory fees,<br>including health insurance.<br><span class=""truncated""> Although some portion of tuition,<br>fees,<br>and health insurance are paid for by the school.<br>The balance we pay as students is what is included in the &#34;Required Fees.&#34; Cost of living is very low (&lt;$500 for a 2BR,<br>1BA apartment w/o utilities)<br>and I biked to school,<br>so it was easy for me to implement a lifestyle that allowed me to save money during grad school.</span>","$24,000",,,"$1,276",chemical engineering
University of California - Los Angeles (UCLA),sociology,27000.0,1.14,2013.0,2nd,nan,,"$21,000","$6,000",,sociology
Duke University (DU),computer science,21579.0,1.15,2013.0,5th,nan,,"$21,579",,,computer science
Duke University (DU),program in computational biology and bioinformatics,28000.0,1.49,2013.0,5th,nan,"$28,000",,,,program in computational biology and bioinformatics
Indiana University,folklore,13950.0,0.81,2013.0,3rd,nan,,"$15,000",,"$1,050",folklore
University of Connecticut (UConn),ecology and evolution,21212.0,1.01,2013.0,3rd,nan,"$21,212",,,,ecology and evolution
University of Alabama - Birmingham (UAB),biochemistry &amp; molecular genetics,28000.0,1.46,2013.0,6th and up,nan,"$28,000",,,,biochemistry &amp; molecular genetics
University of Mississippi (Ole Miss),biology,19000.0,1.09,2013.0,5th,nan,"$19,000",,,,biology
University of Pennsylvania,electrical &amp; systems,28000.0,1.33,2013.0,6th and up,nan,"$28,000",,,,electrical &amp; systems
East Tennessee State University (ETSU),klss,18500.0,1.14,2013.0,,nan,"$18,500",,,,klss
University of North Carolina - Chapel Hill (UNC),bbsp,27500.0,1.46,2013.0,1st,nan,"$27,500",,,,bbsp
New Mexico Institute of Mining and Technology,physics/atmospheric,22500.0,1.39,2013.0,6th and up,This includes tuition and fees,"$33,000",,,"$10,500",physics/atmospheric
Duke University (DU),biomedical engineering,27850.0,1.48,2013.0,6th and up,"I just receive the base stipend in my department.<br> It is quite easy to live in Durham on this <span class=""truncated""> stipend,<br>especially if you have a roommate and no car payment.<br> I will graduate with substantial savings,<br>actually.</span>","$27,850",,,,biomedical engineering
Carnegie Mellon University (CMU),civil engineering,24146.0,1.4,2013.0,1st,"Required fees include Health Insurance,<br>Technology fee,<br>Transportation Fee and Student Activity fee <span class=""truncated""> for a year</span>","$25,920",,,"$1,774",civil engineering
Duke University (DU),economics,19500.0,1.04,2013.0,5th,nan,,"$15,500","$4,000",,economics
Duke University (DU),music,21580.0,1.15,2013.0,3rd,"Summer funding of $5,500 is possible but not guaranteed.<br>In addition to the stipend,<br>Duke fully <span class=""truncated""> covers health insurance premiums.</span>",,"$21,580",,,music
University of New Orleans (UNO),psychology,15600.0,0.71,2013.0,4th,nan,"$16,000",,,$400,psychology
Virginia Tech,instructional design &amp; technology,10600.0,0.58,2013.0,3rd,2400 fees a year.,,"$13,000",,"$2,400",instructional design &amp; technology
National University of Singapore,nan,30000.0,,2013.0,1st,nan,"$30,000",,,,nan
Washington University in St. Louis (Wash U),"evolution, ecology, and population biology",32000.0,1.77,2013.0,5th,nan,"$32,000",,,,"evolution, ecology, and population biology"
Princeton University,sociology,28500.0,1.3,2013.0,5th,nan,"$28,500",,,,sociology
Emory University,gdbbs/bcdb,28250.0,1.34,2013.0,6th and up,"Pay can increase $2000/year if you were awarded Division Scholar status at acceptance (for 5 years)<br><span class=""truncated""> or obtain an external individual fellowship (for duration of fellowship),<br>which can be combined.<br>Pay is the same throughout grad school otherwise.</span>","$28,500",,,$250,gdbbs/bcdb
,physics/atmospheric,22500.0,,2013.0,6th and up,This includes tuition and fees,"$33,000",,,"$10,500",physics/atmospheric
University of California - San Diego (UCSD),mathematics,20500.0,0.87,2013.0,4th,nan,,"$18,000","$2,500",,mathematics
University of Arizona (U of A),accounting,19970.0,1.15,2013.0,5th,nan,,"$19,970",,,accounting
Duke University (DU),biology,24000.0,1.28,2013.0,6th and up,"This is Evolutionary Biology,<br>not Biochemistry,<br>nor Cell Molecular Biology",,"$24,000",,,biology
University of Arizona (U of A),sociology,15698.0,0.9,2013.0,1st,nan,"$15,698",,,,sociology
University of Chicago (UC),chemistry,28000.0,1.28,2013.0,3rd,nan,"$29,000",,,"$1,000",chemistry
University of California - Los Angeles (UCLA),astronomy,30971.0,1.31,2013.0,,"Most fees are paid by the department and/or grants; only a small portion are directly paid by the <span class=""truncated""> student.</span>","$31,106",,,$135,astronomy
Clemson University (CU),economics,19000.0,1.05,2013.0,5th,"Had to pay approximately 1200 in fees every semester and 600 in the summer.<br> Summer funding was if <span class=""truncated""> you taught a class and if you did not teach you only got 15000 </span>",,"$18,000","$4,000","$3,000",economics
,creative writing mfa,10400.0,,2013.0,3rd,"health insurance not included,<br>no conference funding",,"$10,000",$600,$200,creative writing mfa
University of California - Los Angeles (UCLA),astronomy,30706.0,1.3,2013.0,6th and up,"Most fees are paid by the department and/or grants; only a small portion are directly paid by the <span class=""truncated""> student.</span>","$31,106",,,$400,astronomy
University of California - Los Angeles (UCLA),astronomy,30706.0,1.3,2013.0,5th,"Most fees are paid by the department and/or grants; only a small portion are directly paid by the <span class=""truncated""> student.<br>Paid as a GSR.<br>30% of my gross pay went to rent.<br>GSR students are paid as &#39;half time&#39; employees during the school year and &#39;full time&#39; during the summer.<br>This entertaining fiction is further hilarious because nobody here ever works 40 hours or fewer at any time of year.</span>","$31,106",,,$400,astronomy
University of California - Santa Barbara (UCSB),materials,34000.0,1.38,2013.0,5th,"This is the gross pay for someone with a fellowship (the department supplements it up to $34000).<br><span class=""truncated""> Normally,<br>the department would pay me $28000.</span>","$34,000",,,,materials
New Mexico Institute of Mining and Technology,physics/atmospheric,31400.0,1.94,2013.0,6th and up,nan,"$33,000",,,"$1,600",physics/atmospheric
University of Wisconsin - Madison (UW),chemistry,25000.0,1.26,2013.0,1st,nan,"$25,000",,,,chemistry
Duke University (DU),"art,  art history &amp; visual studies",16481.0,0.88,2013.0,5th,nan,,"$22,805",,"$6,324","art,  art history &amp; visual studies"
George Mason University (GMU),"criminology, law &amp; society (phd)",27200.0,0.99,2013.0,1st,"Presidential Scholarship - This is a 3-year award,<br>renewed annually contingent on satisfactory <span class=""truncated""> progress.<br>Required work to earn the stipend was 20 hours GRA with the faculty member of my choice.<br>In addition to the stipend,<br>I received 9 credits of tuition remission per semester and health insurance (no dental).<br>The 9 required credits was a LOT of work in addition to 20 hours,<br>and some faculty members were better than others about keeping to that hour limit.<br>After the award term,<br>it is possible,<br>but not guaranteed,<br>that the same mentor will pick the student up on a grant.<br></span>",,"$20,000","$7,200",,"criminology, law &amp; society (phd)"
Georgia Institute of Technology (Georgia Tech),biomedical engineering,23501.0,1.12,2013.0,6th and up,"Pay $739 for parking
","$28,000",,,"$4,499",biomedical engineering
The Scripps Research Institute,nan,30000.0,,2013.0,5th,nan,"$30,000",,,,nan
Stanford University (SU),biosciences (phd),34168.0,1.37,2014.0,1st,nan,"$34,168",,,,biosciences (phd)
University of Kentucky (UK),mathematics,17250.0,1.01,2014.0,4th,nan,,"$14,500","$3,000",$250,mathematics
University of California - Davis (UCD),cultural studies,21000.0,0.97,2014.0,6th and up,nan,,"$18,000","$3,000",,cultural studies
,nan,20000.0,,2014.0,,nan,"$20,000",,,,nan
Pennsylvania State University (Penn State),counselor education,14000.0,0.76,2014.0,1st,With health insurance+vision ,,"$14,000",,,counselor education
George Mason University (GMU),sociology,18500.0,0.67,2014.0,1st,nan,,"$18,500",,,sociology
University of California - Davis (UCD),mechanical engineering,20735.0,0.96,2014.0,4th,Same &#39;pay rate&#39; but 49% appointment during the school year and 100% appointment during the summer.,,"$17,240","$3,495",,mechanical engineering
University of California - Davis (UCD),neuroscience,28680.0,1.32,2014.0,2nd,nan,"$28,680",,,,neuroscience
University of North Texas (UNT),biology,23200.0,1.2,2014.0,4th,nan,"$25,000",,,"$1,800",biology
University of California - Davis (UCD),anthropology,17603.0,0.81,2014.0,3rd,3 quarters TAing at 50% (20 hours/week),,"$33,359",,"$15,756",anthropology
University of California - Davis (UCD),nutrition,16000.0,0.74,2014.0,4th,nan,,"$16,000",,,nutrition
University of California - Davis (UCD),mechanical engineering,25897.0,1.2,2014.0,4th,Same &#39;pay rate&#39; but 49% appointment during the school year and 100% appointment during the summer.,,"$15,412","$10,485",,mechanical engineering
CUNY Graduate School and University Center,sociology,17400.0,0.66,2014.0,5th,nan,"$18,000",,,$600,sociology
